,연도,제주강수량(mm),제주강수량(m),제주면적곱하기(m^3),리터로환산,취수량추가(L),생활용수,공업용수,농업용수,기타용수,사용합계,지하수함량
0,2002,1674.0,1.674,3095226000.0,3095226000000.0,316820000,83828926,6350100,43804074,64240,134047340,1269042660000.0
1,2003,2176.7,2.1767,4024718299.9999995,4024718299999.9995,316820000,80482568,6323240,43711659,447990,130965457,1650134502999.9998
2,2004,1709.3,1.7093,3160495700.0,3160495700000.0,316820000,85837783,6296040,49648059,432640,142214522,1295803237000.0
3,2005,1253.3,1.2533,2317351700.0,2317351700000.0,316820000,82536358,6135100,72518139,1132345,162321942,950114197000.0
4,2006,1822.3,1.8223,3369432700.0,3369432700000.0,316820000,124509688,12902841,58464256,564484,196441269,1381467407000.0
5,2007,1679.5,1.6795,3105395500.0,3105395500000.0,766500000,127763357,15223696,51403544,794605,195185202,1273212155000.0
6,2008,1428.3,1.4283,2640926700.0,2640926700000.0,766500000,127848357,15223696,51403544,794605,195270202,1082779946999.9999
7,2009,1549.5,1.5495,2865025500.0,2865025500000.0,766500000,130180546,15185751,61022731,794605,207183633,1174660455000.0
8,2010,1856.7,1.8567,3433038300.0,3433038300000.0,766500000,70065478,2077747,51707524,724310,124575059,1407545703000.0
9,2011,1579.0,1.579,2919571000.0,2919571000000.0,766500000,72756221,2239937,66158961,737524,141892643,1197024110000.0
10,2012,2206.4,2.2064,4079633600.0,4079633600000.0,766500000,72755421,2239937,66107129,737524,141840011,1672649776000.0
11,2013,1001.7,1.0017,1852143300.0,1852143300000.0,1679000000,114450726,2473110,84734661,730182,202388679,759378753000.0
12,2014,1887.3,1.8873,3489617700.0,3489617700000.0,1679000000,133092838,2607685,65238230,961192,201899945,1430743257000.0
13,2015,2108.8,2.1088,3899171200.0,3899171200000.0,1679000000,128962541,2676720,68313124,955639,200908024,1598660192000.0
14,2016,1792.5,1.7925,3314332500.0,3314332500000.0,1679000000,129069645,2780623,73888201,1074597,206813066,1358876325000.0
15,2017,1221.6,1.2216,2258738400.0,2258738400000.0,1679000000,142053256,2631182,97546455,1091905,243322798,926082744000.0
