,생활용수,공업용수,농업용수,기타용수
2017,129069645,2780623,73888201,1074597
2016,129069645,2780623,73888201,1074597
2015,128962541,2676720,68313124,955639
2014,133092838,2607685,65238230,961192
2013,114450726,2473110,84734661,730182
2012,72755421,2239937,66107129,737524
2011,72756221,2239937,66158961,737524
2010,70065478,2077747,51707524,724310
2009,130180546,15185751,61022731,794605
2008,127848357,15223696,51403544,794605
2007,127763357,15223696,51403544,794605
2006,124509688,12902841,58464256,564484
2005,82536358,6135100,72518139,1132345
2004,85837783,6296040,49648059,432640
2003,80482568,6323240,43711659,447990
2002,83828926,6350100,43804074,64240
